Bucket,start-x,start-y,goal-x,goal-y,dist,time(ms),optimal
9,101,429,64,430,37.41,12.4,37.41
52,443,313,326,416,214.35,58.0,210.59
16,305,179,302,132,65.01,17.8,65.25
50,113,440,311,454,203.8,60.6,203.8
43,271,471,115,491,172.91,23.0,172.57
8,47,399,64,427,35.04,11.6,35.04
42,249,49,284,180,173.87,18.0,169.62
64,450,314,394,95,262.72,52.6,257.69
40,420,241,407,98,162.23,31.4,162.47
19,430,416,395,380,83.53,16.8,79.43
106,429,427,30,405,430.24,129.6,427.99
63,422,241,386,370,265.25,100.6,255.39
77,347,419,53,456,309.91,30.8,309.33
112,474,326,95,494,452.0,138.4,448.59
18,291,229,332,207,76.46,19.4,75.04
11,289,157,252,140,44.04,15.0,44.04
32,410,127,342,168,0.0,11.4,129.47
16,149,437,129,496,67.28,12.0,67.28
90,196,443,474,363,363.46,146.4,361.71
98,198,407,457,373,398.0,144.2,392.83
110,141,461,415,317,443.75,167.2,440.58
32,214,99,303,182,132.99,30.8,128.07
88,202,433,498,340,356.4,144.0,353.58
38,392,430,254,448,152.67,11.2,152.91
55,276,446,92,358,223.28,36.0,220.45
119,307,424,291,171,487.4,252.4,476.13
77,405,353,150,473,312.91,56.6,311.74
16,421,335,389,387,67.25,13.8,66.08
94,221,121,497,332,386.19,144.6,379.36
66,316,146,413,324,269.58,108.4,266.06
31,282,143,356,233,125.92,31.6,124.75
43,283,460,112,465,174.24,30.6,173.07
93,213,420,468,382,384.3,141.6,375.72
114,504,343,121,399,462.97,157.0,456.73
30,161,443,87,357,120.75,20.6,120.17
34,164,428,44,397,137.91,17.4,136.74
62,155,432,355,373,0.0,6.6,250.44
116,475,351,96,399,472.69,150.8,467.52
58,240,64,203,106,247.05,48.2,235.49
121,75,485,453,306,488.0,267.2,484.83
31,374,191,306,100,126.2,27.0,126.2
125,94,414,464,267,506.89,205.4,500.06
87,422,346,120,432,352.63,45.6,349.56
114,391,416,242,213,467.35,225.0,457.14
54,228,436,420,394,219.92,48.8,216.85
118,498,357,114,381,480.16,152.8,475.81
24,365,128,335,161,97.67,19.6,99.33
36,234,470,127,376,145.94,17.4,145.94
15,192,424,134,437,64.8,10.4,63.38
18,364,392,423,358,73.08,18.4,73.08
33,126,496,49,394,133.89,32.0,133.89
29,407,371,313,428,118.2,27.6,117.61
98,181,403,472,362,396.52,149.4,393.1
126,273,76,410,433,517.8,276.0,507.6
99,81,373,437,416,400.91,78.0,397.84
14,62,356,96,401,60.25,12.0,59.67
80,395,114,206,98,344.4,122.0,322.02
38,149,438,299,441,157.04,24.6,154.56
115,490,327,107,369,469.94,194.4,463.36
108,395,84,377,364,437.35,154.4,435.24
22,90,400,121,476,95.43,32.2,88.84
100,235,457,420,232,405.83,164.4,400.9
63,298,428,87,360,259.84,42.2,254.42
68,179,417,429,426,275.85,67.2,273.61
116,296,471,414,131,480.54,153.4,467.75
125,493,367,89,389,509.53,170.0,502.94
77,143,385,392,371,312.85,62.8,308.61
77,239,130,450,302,315.82,126.4,308.99
20,425,433,368,379,83.47,16.2,82.88
7,96,455,121,444,29.56,14.2,29.56
82,53,388,345,414,331.52,120.4,328.45
36,32,407,175,396,147.56,39.6,147.56
16,494,334,484,394,64.14,10.4,64.14
26,291,170,235,216,107.46,20.4,104.28
39,313,441,160,455,158.8,19.0,158.8
81,99,410,369,372,328.74,101.4,326.49
80,116,401,399,396,326.49,99.6,323.28
82,418,393,131,499,331.49,70.6,330.91
77,408,116,210,94,328.92,93.2,311.71
86,70,487,374,390,345.35,82.6,344.18
13,122,410,165,429,54.53,14.0,53.36
76,109,499,356,379,311.74,68.6,307.84
79,375,392,107,386,323.32,115.8,316.15
2,411,144,415,154,11.66,11.8,11.66
83,203,108,461,277,343.32,125.2,332.83
7,199,111,209,85,30.14,3.2,30.14
10,474,380,506,356,41.94,7.0,41.94
6,114,399,134,412,25.38,12.6,25.38
